The kitchen stinks , I'll throw out the garbage
Come on   you can at least try a little   besides your cigarette , What ’ s wrong with that ? Cigarette is the thing I go crazy for
Leo   I really think you ’ re beating around the bush with this guy  I know he used to be your best friend in college   but I really think it ’ s time to lay down the law , You ’ re right  Everything is probably going to come to a head tonight  I ’ ll keep you informed
I'm not sure  But I'll get a table ready as fast as I can , OK  We'll wait
The pleasure is mine , Isn ’ t he the best instructor ? I think he ’ s so hot  Wow ! I really feel energized   don ’ t you ?
Oh   yeah ! I had a blast ! I love sweating like a pig with a bunch of pot bellies who all smell bad  Sorry   I ’ m just not into this health kick , Oh   no   get off it  It wasn ’ t such a killer class  You just have to get into it  Like they say   no pain   no gain
Never ! But thank you for inviting me , Come on  You ’ ll feel better after we hit the showers
Certainly  How about spaghetti with clams and shrimps , Sounds delicious  OK  She'll try that
Good mastery  How do you like our Chinese food ? , Oh   great ! It's delicious  You see   I am already putting on weight  There is one thing I don't like however   MSG
Oh   don't let that worry you  If that were true   China wouldn't have such a large population , I just happen to have a question for you guys  Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated
Okay   let's go home , Good evening  Welcome to Cherry's  Do you have a reservation ?
Six   including two kids , I'm afraid all the big tables are taken
But your American ? , We have a lot of Chinese restaurants in America
Would you care for a drink before you order ? , A glass of Qingdao beer
Can I help you sir   what do you need ? , I need a packet of cigarettes please
Could I have my bill   please ? , Certainly   sir
I believe you have charged me twice for the same thing  Look   the figure of 65 dollar appears here   then again here , I'll just go and check it for you   sir
Is everything to your satisfaction ? , No   the steak was recommended   but it is not very fresh
I'm sorry   sir  Do you wish to try something else ? That would be on the house   of course , No   thank you
They must be popular again this season , Yes   I believe they are  Here are something that might interest you
Dahua's Market  How can I help you ? , Where is your store located ?
Farmer's Pet Store , Can you please tell me where you are located ?
May I help you find something   sir ? , I'm looking for an engagement ring for my girlfriend  I have an idea of what she likes   but I want to surprise her with something special   too
You've got it  Tell me a little bit about what you might be wanted , Well   my price range is a 5 000 dollars to 7 000 dollars   I'm looking for a marquise cut on the wide band
That would be great  Thanks ! , Mike's Mechanics  Can I help you ?
Thank you very much , I think I going to need some iced water too  Is there an extra charge for that ?
Sure  Do you need anything else ? , Yes   I would also like some sweet and sour sauce and pepper
No   there is no charge for those , I'm looking for some blush  Do you still have some in peach rose ?
Have you heard about our special promotion this month ? If you purchase at least 18 dollar 50 cents in any Elizabeth Arden products   you will receive this black poke with a sample of lipstick   mascara and two shades of white shadow , Wow   that sounds like a bargain  I'm running low on facial moisturizer and toner  Could you ring those up for me too along with the blush ?
That would be my pleasure  I'll wrap the perfume up in the gift box for you too , Golden Taxi cabs   how may I help you ?
I'm on the corner of the Fifth and Mane , OK   I'm sorry it took so long
Some days are just like that , Hello   I need to get a cab
OK  Give me your address , Is Tom available please ?
He'll be right with you , Hi Bill   it ’ s Jane
OK   I ’ ll be right back , Is Tom here ?
Just about , May I try on this dress ?
Shame on you ! , Can I have the check please ?
Yes   sir   it is , Thank you   the service was good
Yes   we are  Could we have the check please ? , Here you go  I can take care of it here when you are already
Well   I don't have any cash with me   I'll have to put it on a credit , Thank you   I'll be right back  Do you need any to go boxes ? I'd be glad to bring you some when I come back
Sure   we have several different styles you may choose  How high of a heel do you want ? , Not to high   maybe an inch or an inch in the half would be the best
Yes   we do   we also have this same style in dark blue and red , No   thank you  I'm just looking for a black pair
I'm fine  I'm just so touched by the sad story , So I can say now that you must have enjoyed the opera  Which scene is your favorite ?
Did you ? I didn't notice that  But still you should know it   for you have seen it with Laura before , I guess I've done the same thing last time I was here with her   too  I mean falling asleep  For me   this one is not that attractive
OK   then  The man was old and he was visiting his wife's grave   with a rose in his hand  When he got there   he saw someone already put a rose on her grave , Very impressive  And I do like the leading actress who has an amazing voice
And it's been such a faultless performance with the perfect lighting   and music  Just amazing ! , No doubt   it's not a simple thing to put on a ' phantom show '
Just Mr  White , What did he want ?
Okay  I'll just be a minute , Any phone calls for me while I was out ?
You're welcome ! , Hello   may I help you ?
Do you have any skirt that will go with this sweater ? , Sure   we have both skirts and slacks that will go well with the sweater  I especially like this flowery skirt  It's very much in style this year
Oh   yes  Just show me where the fitting rooms are now  I can't wait to try this on , May I help you ?
That's fine , Your total comes to 7 dollars
Thanks , I'm sorry  Is that bicycle yours ?
I see , I'm really sorry  I'll face the music
Oh   Yes   I see it now , How are we going to get there ?
That's all right , How are you ?
Andrew   this is Linda Chen , Hi Linda   what can I do for you ?
Tuesday morning , I'm getting a tattoo tomorrow
What's it like ? , Well   the hero is a Super Warrior  He has to fight the bad guys to find the treasure
